PAIS_ORIGEM;TITULO_ORIGINAL;CPB
BRASIL;100 ANOS DE IMIGRAÇÃO JUDAICA NO RS;B0901008400000
BRASIL;100 ANOS DE NOEL ROSA;B1101504200000
BRASIL;100 ANOS DE RADIO NO BRASIL;B2200466000000
BRASIL;100 ANOS DE SAMBA;B1402069000000
BRASIL;100 ANOS DE SELEÇÃO BRASILEIRA;B1402149500000
BRASIL;100 ANOS ESTA NOITE;B0800960300000
BRASIL;100 ANOS LUZ;B1402188700000
BRASIL;100 BEST BRAZILIAN FIGHTS;B1302033200000
BRASIL;100 LIMITES;B1201708000000
BRASIL;100 MANEIRAS;B0700770800000
BRASIL;100 MIL MOTIVOS ( ACÚSTICA);B2100382000000
BRASIL;100 MILHÕES DE SEMENTES;B2200264100000
BRASIL;100 REAIS;B2500057600000
BRASIL;100 SONHO;B1600061600000
BRASIL;100 XURUMELA;B0500413000000
BRASIL;100%;B2300062200000
BRASIL;100% 13;B1500865300000
BRASIL;100% BOLIVIANO, MANO;B1302024800000
BRASIL;100%PEIXE;B0700664700000
BRASIL;1000 ESPORTES;B0800816300000
BRASIL;100MEDOS;B2100422200000
BRASIL;100RAP;B1402151500000
BRASIL;101 CANÇÕES;B1900593500000
BRASIL;107;B2300075800000
BRASIL;11 MIL ANOS DEPOIS;B1800500600000
BRASIL;11' 15'' 29 QUADROS;B1001260700000
BRASIL;112 ANOS DO JAPÃO NO BRASIL;B2000232100000
BRASIL;12 ANOS;B0800937500000
BRASIL;12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE;B1402089200000
BRASIL;12 ESTAÇÕES;B2100401600000
