PAIS_ORIGEM;TITULO_ORIGINAL;ROE
ALEMANHA;COCOON;E2100420200000
ALEMANHA;COLLIDE;E1600459900000
ALEMANHA;COLONIA;E1600102700000
ALEMANHA;COME IN 2006 BALLET AN RHEIN;E2100280100000
ALEMANHA;COMPANY, THE;E1300000100000
ALEMANHA;CONCERT AT MÜNCHNER PHILHARMONIKER (BEETHOVEN);E1800176300000
ALEMANHA;CONCERT AT MÜNCHNER PHILHARMONIKER (SHCHEDRIN);E1800176400000
ALEMANHA;CONCERT AT MÜNCHNER PHILHARMONIKER (STRAUSS);E1800176500000
ALEMANHA;CONFESSION D'UN ENFANT DU SIECLE;E1600178800000
ALEMANHA;CONFIDENCE;E1700612500000
ALEMANHA;CONSTANT GARDENER, THE;E1300000100000
ALEMANHA;CONTENDER, THE;E1800526000000
ALEMANHA;CONTRACORRIENTE;E1600136400000
ALEMANHA;CORAL REEF: FASCINATION 3D+2D;E1300000100000
ALEMANHA;CORONADO;E1300000100000
ALEMANHA;COUNTERFEITERS, THE (AKA FÄLSCHEF);E1300000100000
ALEMANHA;CRASH COURSE;E1300000100000
ALEMANHA;CRASHPOINT: BERLIN;E1300000100000
ALEMANHA;CRAZY;E1300000100000
ALEMANHA;CRAZY FROG (AXEL F);E1300000100000
ALEMANHA;CRAZY FROG (POPCORN);E1300000100000
ALEMANHA;CREEP;E1500460700000
ALEMANHA;CROSS OF IRON;E1300000100000
ALEMANHA;CROSSING THE BRIDGE;E1300000100000
ALEMANHA;CROSSING THE BRIDGE: THE SOUND OF ISTANBUL;E1300000100000
ALEMANHA;CROSSING THE BRIDGE: THE SOUND OF ISTANBUL;E1600442700000
ALEMANHA;CRUSH,THE;E1300000100000
ALEMANHA;CSAK A SZÉL;E1600160700000
ALEMANHA;CURSIVE II;E2200194400000
ALEMANHA;CYBERMUTT;E1300000100000
ALEMANHA;CÉRÉMONIE, LA;E2200394900000
ALEMANHA;D-TOX;E2100368400000
ALEMANHA;DA MOB;E1300000100000
ALEMANHA;DANCE ON SCREEN;E2200194900000
ALEMANHA;DANCING ARABS;E1500640100000
ALEMANHA;DANCING DREAMS;E1300000100000
ALEMANHA;DANCING DREAMS;E1600196800000
ALEMANHA;DANIEL BARENBOIM & WEST-EASTERN DIVAN ORCHESTRA;E1300000100000
