REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
26212;ALEF FILMS PRODUCOES LTDA;18.329.398/0001-70;50754;ENCANTADA PRODUÇÕES LTDA.;43.380.531/0001-60;COLIGAÇÃO;06/02/2024
26238;TOCHA PRODUCOES ARTISTICAS - EIRELI;19.291.237/0001-05;55122;SYLVIO B. R. P. JUNIOR LTDA;51.207.853/0001-30;COLIGAÇÃO;22/09/2023
26263;DANIELA WASSERSTEIN ANGHINAH;19.693.731/0001-98;39047;DANIELA WASSERSTEIN ANGHINAH;24.889.361/0001-07;COLIGAÇÃO;02/04/2024
26268;ALEKSANDER NUNES NASCIMENTO ***********;97.532.634/0001-27;32052;BLACK CORPORATION LTDA ME;21.762.352/0001-54;COLIGAÇÃO;08/03/2021
26269;NOIS BR PRODUÇÕES LTDA ME;13.778.693/0001-90;26526;N FILMES PRODUTORA E FINALIZADORA DE CINEMA LTDA;19.804.078/0001-97;COLIGAÇÃO;09/03/2021
26305;QUATRO MAOS EDITORA LTDA;04.559.254/0001-03;23696;KAPPAMAKKI PRODUÇÕES ARTÍSTICAS LTDA;13.899.937/0001-92;COLIGAÇÃO;19/09/2024
26317;FOCO 3 - ORGANIZAÇÕES DE EVENTOS E PUBLICIDADE LTDA;10.426.912/0001-83;30957;FOCO PRODUÇÕES LTDA;12.728.448/0001-05;COLIGAÇÃO;17/01/2024
26337;CINEMATOGRÁFICA NACIONAL PRODUÇÕES EIRELI;17.886.731/0001-89;6469;VIRA LATA FILMES LTDA;00.567.440/0001-25;COLIGAÇÃO;06/11/2020
26338;NANDO ASSIS FILMES LTDA;18.736.852/0001-07;33431;PRODUTORA GRAMOFONE LTDA - ME;21.565.216/0001-74;COLIGAÇÃO;14/07/2021
26345;AGÊNCIA OBSERVATÓRIO DISTRIBUIDORA DE FILMES LTDA-ME;10.733.781/0001-87;455;UM MINUTO PRODUCOES CULTURAIS LTDA.;66.708.900/0001-04;COLIGAÇÃO;03/02/2025
26347;TÚNEL ARTES GRÁFICAS LTDA;05.902.568/0001-11;32686;D&V PUBLICIDADES LTDA;07.929.833/0001-80;COLIGAÇÃO;06/05/2021
26355;STUDIO DROPZ FILMES - EIRELI - ME;16.507.252/0001-41;30643;LEANDRO LIMA LOPES SERVICOS - ME;22.844.031/0001-61;COLIGAÇÃO;25/09/2020
26390;HOGARTH WORLDWIDE PUBLICIDADE BRASIL LTDA;18.009.420/0001-02;31272;HOGARTH WORLDWIDE PRODUÇÃO LTDA.;23.314.398/0001-36;CONTROLE;16/12/2020
26391;INVERSO MIDIA LTDA-ME;17.734.695/0001-38;62675;61.515.695 AUGUSTO SCHROEDER BROCK;61.515.695/0001-39;COLIGAÇÃO;29/07/2025
26396;ASSOCIAÇÃO DE INTEGRAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE, CULTURA, ESPORTE E MEIO AMBIENTE;19.495.585/0001-96;26054;ASSOCIAÇÃO DE INTERAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE CULTURA E ESPORTE;17.212.870/0001-27;COLIGAÇÃO;22/02/2019
26405;RF MACEDO LTDA;13.585.525/0001-88;1463;DLK ON LINE LTDA;05.274.746/0001-07;COLIGAÇÃO;04/03/2013
26449;CHERRY NAU SERVIÇOS DE PUBLICIDADE E MIDIA LTDA;18.702.017/0001-56;17397;CHERRYPLUS CRIACOES ARTISTICAS LTDA.;10.158.709/0001-73;COLIGAÇÃO;07/05/2019
26454;G4 ENTRETENIMENTO E TECNOLOGIA DIGITAL LTDA;06.287.942/0001-89;388;PDI - PROCESSAMENTO DIGITAL DE IMAGENS S/C LTDA;03.872.528/0001-49;COLIGAÇÃO;12/03/2008
26524;DEUSDARÁ FILMES LTDA;00.953.135/0001-71;15983;DOC STATION LTDA;05.035.003/0001-84;COLIGAÇÃO;01/12/2025
26526;N FILMES PRODUTORA E FINALIZADORA DE CINEMA LTDA;19.804.078/0001-97;32480;BABA PRODUÇÕES CINEMATOGRÁFICAS E ARTÍSTICAS LTDA;16.713.327/0001-40;COLIGAÇÃO;07/02/2022
26548;DOIS + TRÊS PRODUÇÕES ARTÍSTICAS LTDA ME;15.156.700/0001-47;14841;DOIS + DOIS COMUNICAÇÕES LTDA;07.981.845/0001-54;COLIGAÇÃO;04/02/2025
26591;ASSOCIAÇÃO CULTURAL ARTE PAJUÇARA - ACAP;19.442.911/0001-05;34132;LA URSA CINEMATOGRÁFICA LTDA;22.000.363/0001-60;COLIGAÇÃO;24/12/2021
26594;RODA COLETIVA LTDA - EPP;19.381.392/0001-04;6570;CONTENT REALIZAÇÕES E PRODUÇÕES AUDIOVISUAIS LTDA;08.239.641/0001-05;COLIGAÇÃO;23/03/2016
26609;A DUPLA FOTOGRAFIA E CINEMATOGRAFIA LTDA - ME;10.429.582/0001-80;63493;DMMR PRODUCAO AUDIOVIISUAL E MUSICAL LTDA;10.412.488/0001-18;COLIGAÇÃO;16/10/2025
26609;A DUPLA FOTOGRAFIA E CINEMATOGRAFIA LTDA - ME;10.429.582/0001-80;49581;CABANA STUDIO FOTOGRAFIA E CINEMATOGRAFIA LTDA;41.864.145/0001-18;COLIGAÇÃO;20/09/2021
26611;MONEWA - COMUNICAÇÃO, PRODUÇÕES E SERVIÇOS LTDA;12.809.119/0001-99;633;OBARÁ PRODUÇÕES ARTÍSTICAS LTDA;73.782.252/0001-93;COLIGAÇÃO;07/06/2018
26620;VANESSA FABIANA WOLTER - ME;17.686.322/0001-39;37153;DOMINOS FILMES LTDA - ME;26.228.539/0001-96;COLIGAÇÃO;27/02/2023
26628;DUDU BORGES PROMOÇÕES ARTÍSTICAS LTDA - ME;12.460.264/0001-07;42540;ANALAGA PRODUÇÕES ARTÍSTICAS LTDA-ME;29.056.399/0001-04;COLIGAÇÃO;19/09/2024
26636;MARIA REGINA NOBREGA ZELANTE MARYSSAEL DE CAMPOS - ME;05.585.671/0001-85;14010;NA LAJE FILMES PRODUÇÕES LTDA;08.035.343/0001-01;COLIGAÇÃO;12/06/2023
26638;RODRIGO LIMA TAGLIARO;15.637.621/0001-58;27808;RODTAG PRODUTORA DE VIDEOS, FOTOGRAFIAS E TRANSPORTADORA LTDA;09.630.376/0001-54;COLIGAÇÃO;23/11/2020
26640;MPBS FILMES E PRODUCOES ARTISTICAS E ENTRETENIMENTO LTDA;19.964.222/0001-52;46899;VOZ FILMES E PRODUÇÕES ARTÍSTICAS EIRELI;38.487.725/0001-29;COLIGAÇÃO;06/10/2020
26640;MPBS FILMES E PRODUCOES ARTISTICAS E ENTRETENIMENTO LTDA;19.964.222/0001-52;22519;PAULO FRANCISCO PERES LUCAS ME;14.428.576/0001-69;COLIGAÇÃO;24/11/2017
26640;MPBS FILMES E PRODUCOES ARTISTICAS E ENTRETENIMENTO LTDA;19.964.222/0001-52;52870;MPB RECORDS E PRODUÇÕES ARTÍSTICAS LTDA;39.314.110/0001-63;COLIGAÇÃO;24/02/2023
26640;MPBS FILMES E PRODUCOES ARTISTICAS E ENTRETENIMENTO LTDA;19.964.222/0001-52;42205;MPB FILMES E PRODUÇÕES ARTÍSTICAS E ENTRETENIMENTO LTDA;32.683.323/0001-13;COLIGAÇÃO;19/09/2024
26640;MPBS FILMES E PRODUCOES ARTISTICAS E ENTRETENIMENTO LTDA;19.964.222/0001-52;46916;2.2 PRODUÇÕES ARTÍSTICAS E ENTRETENIMENTO LTDA;38.409.721/0001-22;COLIGAÇÃO;08/10/2020
26655;KONDZILLA FILMES LTDA;18.678.886/0001-92;48002;KZMP GRAVADORA MUSICAL LTDA;31.254.415/0001-15;COLIGAÇÃO;23/03/2021
26655;KONDZILLA FILMES LTDA;18.678.886/0001-92;54307;KONDZILLA ENTRETENIMENTOS LTDA;45.721.872/0001-87;COLIGAÇÃO;04/08/2023
26665;SWEET SUIT FILMES LTDA;19.534.934/0001-31;40978;MC BULLARA FILMES ME;30.571.603/0001-04;COLIGAÇÃO;16/05/2024
26672;MIDIA FILMES LTDA;19.934.548/0001-37;37153;DOMINOS FILMES LTDA - ME;26.228.539/0001-96;COLIGAÇÃO;27/02/2023
26741;ESTUDIO CLICKA LTDA - ME;14.686.981/0001-87;41572;SOHO PRODUTORA DE VIDEOS E FOTOGRAFIAS LTDA;31.845.937/0001-91;COLIGAÇÃO;12/06/2024
26741;ESTUDIO CLICKA LTDA - ME;14.686.981/0001-87;51892;SANTA LUCIA PRODUCOES EIRELI;30.593.095/0001-65;COLIGAÇÃO;18/08/2022
26742;PANGEA FILMES LTDA;14.641.405/0001-13;53958;UBUPLAY ARTES E ENTRETENIMENTO LTDA;41.535.193/0001-62;COLIGAÇÃO;03/07/2023
26749;MARIANA B. YOUSSEF FILMES;08.203.768/0001-74;62371;MISS SUNSHINE FILMS LTDA;60.782.494/0001-35;COLIGAÇÃO;26/06/2025
26749;MARIANA B. YOUSSEF FILMES;08.203.768/0001-74;16491;ASK THE RABBIT ENTRETENIMENTO LTDA;09.640.643/0001-74;COLIGAÇÃO;28/06/2024
26753;LOCALL CINEMATOGRAFICA LTDA;73.057.887/0001-28;545;LOCALL DE CINEMA E TELEVISAO LTDA;53.563.292/0001-37;COLIGAÇÃO;22/02/2024
26764;SISTEMA MASSA DE TELEVISÃO LTDA;14.965.688/0001-59;42315;GMRM ENTRETENIMENTOS LTDA.;25.141.399/0001-51;COLIGAÇÃO;19/09/2024
26764;SISTEMA MASSA DE TELEVISÃO LTDA;14.965.688/0001-59;3950;TELEVISAO CIDADE LTDA;80.583.941/0001-34;COLIGAÇÃO;24/01/2025
26764;SISTEMA MASSA DE TELEVISÃO LTDA;14.965.688/0001-59;3952;TELEVISAO NAIPI LTDA;77.689.032/0001-70;COLIGAÇÃO;24/01/2025
26780;CINE FORUM;19.858.064/0001-56;25979;GÊMEOS DO CINEMA E CULTURA LTDA;14.597.365/0001-50;COLIGAÇÃO;12/12/2023
26780;CINE FORUM;19.858.064/0001-56;59312;SISSI PRODUÇÕES LTDA;40.404.597/0001-54;COLIGAÇÃO;06/09/2024
26780;CINE FORUM;19.858.064/0001-56;56384;THE LOOK FILMES E ARTES LTDA;52.310.879/0001-71;COLIGAÇÃO;14/11/2023
26781;INQUIETUDE BRENNAND FORTES PRODUÇÕES CULTURAIS LTDA.;19.557.549/0001-00;4962;MARIOLA FILMES E PRODUÇÕES LTDA.;07.501.094/0001-21;COLIGAÇÃO;04/12/2020
26786;HUIA PRODUÇÕES LTDA.;17.961.586/0001-53;46773;BROOKE PRODUCOES DE FOTOS E VIDEOS LTDA;31.537.706/0001-10;COLIGAÇÃO;29/09/2020
26797;VINÍCIUS ELLWANGER;17.801.829/0001-96;39837;VINICIUS ELLWANGER & CIA LTDA;19.922.250/0001-07;COLIGAÇÃO;23/08/2023
26799;AL DENTE FILMES LTDA ME;12.009.314/0001-34;38890;DRIVE-IN FILMES LTDA;21.301.294/0001-61;COLIGAÇÃO;26/10/2023
26805;THOR FILMES LTDA;14.096.129/0001-50;767;THOR FILMES EIRELI - ME;37.155.280/0001-17;COLIGAÇÃO;06/10/2021
26806;J. DE A. OLIVEIRA EIRELI - EPP;17.034.135/0001-70;38433;SISTEMA GUARA DE RADIODIFUSÃO LTDA;04.861.850/0001-35;COLIGAÇÃO;12/06/2024
26811;CASA NOVA PRODUÇÕES AUDIO E VIDEO LTDA;17.856.194/0001-24;24666;TVCASA PRODUCOES AUDIO E VIDEO LTDA - ME;11.877.823/0001-16;COLIGAÇÃO;30/08/2018
26818;BUFALOS PRODUÇÕES LTDA;19.991.248/0001-90;26826;GC HIDAKA ME;14.083.496/0001-19;COLIGAÇÃO;16/07/2025
26826;GC HIDAKA ME;14.083.496/0001-19;26818;BUFALOS PRODUÇÕES LTDA;19.991.248/0001-90;COLIGAÇÃO;09/07/2025
26827;M R N FILMES E PRODUCOES LTDA;20.126.907/0001-09;43356;EMERSON MAGO FILMES EIRELI;33.920.130/0001-00;COLIGAÇÃO;24/01/2025
26840;COMUNICAÇÃO E MÍDIA PRODUÇÕES LTDA;06.097.456/0001-06;28136;COMUNICAÇÃO E MÍDIA PRODUÇÕES LTDA;21.118.853/0001-00;COLIGAÇÃO;17/12/2019
26853;J. DE OLIVEIRA FRAGA FILMAGENS;18.840.318/0001-46;45198;36.172.994 JONATHAS DE OLIVEIRA FRAGA;36.172.994/0001-70;COLIGAÇÃO;09/07/2025
26854;OFICINA DE ARTES ROSINA PAGAN PRODUÇÕES ARTISTICAS LTDA;20.034.134/0001-30;20826;ND PRODUÇÔES ARTISTICAS LTDA-EPP;14.927.675/0001-95;COLIGAÇÃO;10/03/2017
26887;F & J PRODUÇÕES LTDA - ME;18.931.823/0001-04;30619;BUZZ CCS PRODUCOES LTDA;21.705.804/0001-66;COLIGAÇÃO;09/09/2022
26888;AMORIM FILMES PRODUÇÕES CINEMATOGRÁFICAS EIRELI;13.384.449/0001-42;53908;BARI BAI FILMES LTDA;49.574.715/0001-47;COLIGAÇÃO;29/06/2023
26890;ROYALPIXEL SERVICOS DE INFORMACAO NA INTERNET LTDA - ME;10.525.358/0001-91;43228;MIND SNACK PRODUCAO LTDA;28.415.468/0001-66;COLIGAÇÃO;24/01/2025
26891;CABEÇA AMARELA FILMES PRODUTORA DE FOTO E VIDEO LTDA;17.023.894/0001-38;1925;CABEÇA AMARELA VIDEOMAKER PRODUTORA DE VÍDEOS E FOTOS LTDA;05.594.778/0001-90;COLIGAÇÃO;07/06/2018
26891;CABEÇA AMARELA FILMES PRODUTORA DE FOTO E VIDEO LTDA;17.023.894/0001-38;4172;FABIO ANIYA;07.063.150/0001-93;COLIGAÇÃO;10/08/2010
26892;AURA EDIÇÕES MUSICAIS LTDA.;27.914.290/0001-35;54471;MAFUÁ MÍDIA PRODUÇÕES LTDA;46.232.199/0001-84;COLIGAÇÃO;21/08/2023
26921;MIDIA MIX PRODUÇÕES LTDA.;15.228.596/0001-59;52717;J CARLOS DE BARROS TORRES;48.543.253/0001-38;COLIGAÇÃO;26/01/2023
26950;BAUNCE CENTRAL DE AUDIO E SERVIÇOS LTDA;07.194.985/0001-82;62332;RADI 360 COMUNICACAO INTEGRADA LTDA;15.476.080/0001-23;COLIGAÇÃO;17/06/2025
26952;VIVAC FILMS PRODUTORA AUDIOVISUAL LTDA;19.486.738/0001-39;63102;DELIRIO STUDIO CRIATIVO LTDA;61.518.119/0001-45;COLIGAÇÃO;05/09/2025
26973;RODAMUNDO FILMES LTDA.;19.647.815/0001-95;1012;RODAMUNDO FILMES LTDA;23.148.018/0001-30;COLIGAÇÃO;03/02/2025
26981;TELEVISÃO RIO GRANDE DO NORTE LTDA;19.924.934/0001-48;37839;JOB FILMES & PRODUCOES EIRELI;28.634.839/0001-09;COLIGAÇÃO;18/12/2020
26992;BULB PRODUTORA LTDA - ME;18.741.266/0001-50;60579;BULL MIDIA COMUNICACAO E EXPANSAO DE NEGOCIOS LTDA;45.708.562/0001-22;COLIGAÇÃO;27/12/2024
26992;BULB PRODUTORA LTDA - ME;18.741.266/0001-50;62232;BULL MIDIA NEGOCIOS DIGITAIS LTDA;60.204.714/0001-43;COLIGAÇÃO;02/06/2025
26996;TREMENDÃO PRODUCOES E EVENTOS LTDA EPP;18.898.877/0001-07;6406;ECRA REALIZAÇÕES ARTÍSTICAS LTDA;28.124.659/0001-79;COLIGAÇÃO;30/11/2011
26996;TREMENDÃO PRODUCOES E EVENTOS LTDA EPP;18.898.877/0001-07;21173;COQUEIRO VERDE RECORDS PRODUÇÕES ARTÍSTICAS LTDA;05.363.930/0001-23;COLIGAÇÃO;05/04/2017
26998;CAFÉ MAESTRO ESTÚDIO MUSICAL LTDA. ME;10.613.589/0001-57;55434;ENIALE CONSULTORIA E PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA;47.940.686/0001-64;COLIGAÇÃO;06/12/2023
27002;MISTURA LOUCA PRODUÇOES ARTISTICAS LTDA;18.147.334/0001-58;16752;JFW CUIDADOS ARTÍSTICOS LTDA - EPP;07.252.857/0001-48;COLIGAÇÃO;15/01/2019
27002;MISTURA LOUCA PRODUÇOES ARTISTICAS LTDA;18.147.334/0001-58;34696;WORK SHOW PRODUCOES E ENTRETENIMENTO ARTISTICOS LTDA;20.077.216/0001-62;COLIGAÇÃO;31/05/2022
27021;B-TEK IMAGENS LTDA;19.804.879/0001-52;30783;BRUNO DE OLIVEIRA VIANNA COSTA -ME;05.911.887/0001-93;COLIGAÇÃO;14/09/2020
27021;B-TEK IMAGENS LTDA;19.804.879/0001-52;31041;ZESTE E FLIP PRODUCOES EIRELI;23.266.017/0001-90;COLIGAÇÃO;19/03/2021
27025;CAPUZZO PRODUÇÕES LTDA;17.618.715/0001-05;61700;CAPUZZO FILMES LIMITADA;52.095.235/0001-08;COLIGAÇÃO;16/04/2025
27027;ALUMIA PRODUÇÕES LTDA-ME;13.079.333/0001-08;30390;MUSIC2 PUBLICIDADE DIGITAL LTDA;16.595.954/0001-24;COLIGAÇÃO;19/11/2020
27029;AKWA MT PRODUCOES ARTISTICAS LTDA;14.139.914/0001-42;51630;AKWA PRODUÇÕES ARTÍSTICAS;46.124.383/0001-00;COLIGAÇÃO;15/07/2022
27031;FELIPE J LIMA DE SOUZA;19.698.486/0001-01;51027;SUPER8 PRODUTORA AUDIOVISUAL LTDA;45.373.717/0001-17;COLIGAÇÃO;17/07/2025
27046;MARCO ANTONIO PAVAO;05.531.541/0001-60;14272;ESTRICNINA DESENHOS ANIMADOS LTDA;08.662.115/0001-53;COLIGAÇÃO;04/10/2024
27055;JOSE LUIZ F. LAU - ME;02.222.687/0001-35;17380;ACENA AUDIOVISUAIS LTDA - ME;12.094.302/0001-55;COLIGAÇÃO;04/03/2013
27058;B&D PRODUÇÕES ARTÍSTICAS LTDA;19.699.190/0001-05;42540;ANALAGA PRODUÇÕES ARTÍSTICAS LTDA-ME;29.056.399/0001-04;COLIGAÇÃO;19/09/2024
27071;ANCHOR PRODUÇÕES & DESIGN LTDA.;07.090.719/0001-00;4599;ANCHOR COMUNICAÇÃO & PRODUÇÕES LTDA;41.805.235/0001-38;COLIGAÇÃO;05/04/2017
27124;CUKA FILMES LTDA;20.239.442/0001-00;57689;MEDIA PLAY FILMES LTDA;54.183.002/0001-92;COLIGAÇÃO;13/03/2024
27127;CAMISA LISTRADA BH PRODUCOES AUDIOVISUAIS LTDA;04.102.780/0001-31;52052;FOGUEIRA FILMES EIRELI;29.795.530/0001-55;COLIGAÇÃO;14/09/2022
27132;HOBIE - PRODUCAO TELEVISIVA LTDA - ME;19.521.912/0001-37;14328;F.T. PRODUÇÕES DE FILMES LTDA - EPP;07.672.046/0001-04;COLIGAÇÃO;26/02/2018
27133;FLOR DO CERRADO DESENVOLVIMENTO,CRIAÇÃO E EXECUÇÃO DE PROJETOS E EVENTOS EIRELI-ME;18.799.978/0001-20;20803;FLOR DO CERRADO FILMES, CONSULTORIAS E EVENTOS LTDA;08.096.317/0001-85;COLIGAÇÃO;05/06/2023
27135;MOL FILMES E PRODUÇÕES LTDA - EPP;14.635.275/0001-06;17823;SONAR COMUNICAÇÃO E ARTES GRAFICAS LTDA;05.819.873/0001-44;COLIGAÇÃO;19/09/2024
27157;DIFUSOR CULTURAL LTDA;20.148.960/0001-00;30960;DIFUSOR EVENTOS LTDA;23.202.462/0001-97;COLIGAÇÃO;06/11/2020
27214;YAD 18 PROMOCAO E PROPAGANDA LTDA;05.908.988/0001-05;44032;TOV - PROMOCOES E EVENTOS LTDA;34.396.100/0001-09;COLIGAÇÃO;05/02/2025
27235;ATLAX PARTICIPAÇÕES LTDA;11.701.095/0001-97;5158;HUNGRY MAN BRASIL PRODUÇÕES LTDA.;07.630.900/0001-61;COLIGAÇÃO;22/11/2023
27316;OBJETIVA FILMES LTDA - ME;09.327.414/0001-02;3286;ATELIE PRODUCOES LTDA;04.149.422/0001-84;COLIGAÇÃO;25/04/2024
27318;KAMCORD PRODUCAO DE FILMES EIRELI;18.391.109/0001-62;52923;POPFILMES PRODUCAO DE FILMES LTDA;49.644.572/0001-00;COLIGAÇÃO;06/03/2023
27318;KAMCORD PRODUCAO DE FILMES EIRELI;18.391.109/0001-62;53423;RICCARDO ROSSI PRODUCOES LTDA;43.261.754/0001-08;COLIGAÇÃO;18/05/2023
27320;JOHNES DIAS;15.236.035/0001-00;29301;INSTITUTO SOCIAL DE ARTE INTEGRADAS CAFÉ CULTURAL;21.950.301/0001-56;COLIGAÇÃO;11/05/2020
27330;INAÊ PRODUÇÕES CINEMATOGRÁFICAS LTDA;11.055.900/0001-52;51359;YORÙBÁ ARTS TV LTDA;45.984.673/0001-61;CONTROLE;02/06/2022
27330;INAÊ PRODUÇÕES CINEMATOGRÁFICAS LTDA;11.055.900/0001-52;53579;BELA OXUM PRODUÇÕES LTDA;47.978.144/0001-80;COLIGAÇÃO;06/06/2023
27331;H2H PRODUÇÕES LTDA;20.233.324/0001-87;19953;B-52 - CRIACAO, PRODUÇÕES, GRÁFICAS, EDIÇÃO, VÍDEOS E COMÉRCIO LTDA.EPP;04.765.002/0001-22;COLIGAÇÃO;10/10/2018
27331;H2H PRODUÇÕES LTDA;20.233.324/0001-87;2198;BRETAS PROPAGANDA E MARKETING LTDA;96.236.401/0001-14;COLIGAÇÃO;04/03/2013
27338;PRIME SHARE PROPAGANDA E MARKETING LTDA.;06.932.517/0001-03;18924;WALDYR LIMA EDITORA LTDA;40.206.278/0001-34;COLIGAÇÃO;24/01/2025
27341;ONE TIME ZONE EVENTOS LTDA.;20.253.055/0001-10;27435;W. PRODUCCIONES EVENTOS E ENTRETENIMENTO EIRELI EPP;17.314.533/0001-40;COLIGAÇÃO;08/10/2019
27349;RUA 15 PRODUÇÕES ARTÍSTICAS E EVENTOS LTDA;17.172.534/0001-06;34752;PEDRO M L AGUIAR ME;22.811.166/0001-20;COLIGAÇÃO;20/06/2022
27351;SET FILMES & PRODUCOES LTDA;20.316.187/0001-44;48009;MUTANTE FILMES E PRODUÇÕES CINEMATOGRAFICAS LTDA;41.018.618/0001-66;COLIGAÇÃO;24/03/2021
27352;MAR DE GENTE PRODUÇÃO ARTISTICAS LTDA;17.270.948/0001-60;42226;CHANTILLY PRODUÇÕES ARTÍSTICAS LTDA;00.737.250/0001-09;COLIGAÇÃO;19/09/2024
27357;TANDERA FILMES E PRODUCOES LTDA;20.615.318/0001-94;63181;LEONARDO XAVIER BARCELOS COSTA;44.516.584/0001-28;COLIGAÇÃO;12/09/2025
27371;ULTRAVISÃO CINEMAS E ENTRETENIMENTO LTDA.;08.234.750/0001-30;46321;TONKS CINEMATOGRAFICA, CONSULTORIA E EDITORA EIRELI;08.683.176/0001-05;COLIGAÇÃO;04/01/2021
27392;CARREIRA SOLO EMPREENDIMENTOS ARTÍSTICOS LTDA;04.579.722/0001-01;4759;TPM PRODUÇÕES ARTÍSTICAS LTDA;06.059.615/0001-70;COLIGAÇÃO;11/05/2020
27412;EXTRATO DE CINEMA PRODUÇÕES E SERVIÇOS CINEMATOGRÁFICOS LTDA;13.124.984/0001-64;57392;PHILIPEIA PRODUCOES DE CINEMA LTDA;53.637.870/0001-32;COLIGAÇÃO;07/02/2024
27420;POLO E NIGRO PRODUÇÕES LTDA;19.742.610/0001-99;51017;RISCO FILMES LTDA;44.065.152/0001-48;COLIGAÇÃO;18/04/2022
27435;W. PRODUCCIONES EVENTOS E ENTRETENIMENTO EIRELI EPP;17.314.533/0001-40;27341;ONE TIME ZONE EVENTOS LTDA.;20.253.055/0001-10;COLIGAÇÃO;12/08/2019
27445;RENATO FRANCA - ME / PERCEPT VIDEO;11.780.706/0001-30;23155;CALOI ARQUITETURA LTDA.;11.393.002/0001-04;COLIGAÇÃO;22/03/2018
27448;GLOBAL VILLAGE CREATIVE E EXECUTIVE PRODUTORA LTDA;19.780.327/0001-51;63971;D SCARPARO BARBIERI;61.070.523/0001-07;COLIGAÇÃO;23/12/2025
27460;CAMINHO LUMINOSO LTDA - EPP;20.412.118/0001-34;41914;MARACAJAH FILMES LTDA-ME;28.000.814/0001-45;COLIGAÇÃO;11/06/2024
27477;RRM PRODUCAO E VIDEOCOMUNICACAO LTDA;20.446.511/0001-49;12701;GTEC DIGITAL EIRELI;03.699.216/0001-85;COLIGAÇÃO;22/09/2025
27485;DER KONIG ENTRETENIMENTO, CONSULTORIA E INDUSTRIA CRIATIVA EIRELI;05.820.823/0001-87;28978;ICAP - INSTITUTO COM A PALAVRA;13.911.195/0001-73;COLIGAÇÃO;09/09/2025
27506;CINOCHE-BR PRODUÇÕES AUDIOVISUAL LTDA;10.487.588/0001-03;29456;MARIA DAS GRAÇAS AVELAR MARCELINO -ME;21.304.421/0001-86;COLIGAÇÃO;11/05/2020
27508;OILHA AUDIOVISUAL STUDIO EIRELI - ME;95.134.573/0001-14;34069;LA 9 PRODUTORA DE VÍDEO LTDA;24.863.454/0001-54;COLIGAÇÃO;31/10/2024
27519;DEROULL FILMES LTDA;20.462.623/0001-93;52223;DEROULL FLORIPA PRODUÇÕES LTDA;36.278.381/0001-12;COLIGAÇÃO;21/10/2022
27525;C2 FILMES LTDA EPP;19.291.109/0001-53;54525;ALESSANDRO BARROS DA SILVA FILMES;01.670.473/0001-69;COLIGAÇÃO;24/08/2023
27533;MESMO ASSIM A GENTE FAZ NA LATA ABSOLUTA PRODUCOES CINEMATROGRAFICA LTDA;10.233.319/0001-10;59535;MANIFESTA PRODUÇÕES ARTÍSTICAS LTDA;55.514.670/0001-18;COLIGAÇÃO;19/09/2024
27535;MRW PRODUÇÕES E EVENTOS LTDA;18.927.487/0001-18;24816;RWM PRODUÇÕES E EVENTOS LTDA EPP;18.152.343/0001-37;COLIGAÇÃO;10/10/2018
27544;PROSÉLITOS PRODUÇÕES E MARKETING EIRELI;17.721.125/0001-03;29617;ASSOCIAÇÃO PROSÉLITOS;20.472.602/0001-59;COLIGAÇÃO;17/07/2020
27544;PROSÉLITOS PRODUÇÕES E MARKETING EIRELI;17.721.125/0001-03;45484;A S BRAZ PRODUCAO DE FILMES CINEMATOGRAFICOS;10.465.962/0001-70;COLIGAÇÃO;16/07/2025
27548;TRUE MOTION ENTERTAINMENT LTDA EPP;20.302.496/0001-65;3252;TRUE MOTION STUDIOS, ANIMACAO E PRODUCAO LTDA;03.975.566/0001-27;COLIGAÇÃO;26/04/2024
27572;DLA DISTRIBUIDORA E ENTRETENIMENTO LTDA;17.698.323/0001-01;3023;INTERACTV SERVIÇOS DE TV E MÍDIA LTDA.;07.085.868/0001-80;COLIGAÇÃO;21/03/2023
27603;PAISAGEM DIGITAL COMUNICAÇÃO MULTIMÍDIA;08.076.715/0001-30;41233;NARA ELISA FORTUNATO PINTO;31.239.399/0001-91;COLIGAÇÃO;20/05/2025
27603;PAISAGEM DIGITAL COMUNICAÇÃO MULTIMÍDIA;08.076.715/0001-30;24070;PROSPERIDADE COMUNICAÇÃO E FILMES LTDA;17.545.702/0001-53;COLIGAÇÃO;01/04/2025
27618;GABRIEL MUNIZ CARNEIRO;18.204.510/0001-46;42297;GABRIEL MUNIZ CARNEIRO ***********;31.834.185/0001-63;COLIGAÇÃO;19/09/2024
27637;LIOVA PRODUÇÃO MUSICAL E VÍDEO LTDA.;17.114.338/0001-77;37206;ESTUDIO PANAMA ARTE E FILMES LTDA - EPP;13.271.399/0001-97;COLIGAÇÃO;27/02/2023
27638;ROSEIRA FILMES E PRODUCOES ARTISTICAS;20.519.742/0001-35;58657;ROSEIRA PRODUCOES ARTISTICAS LTDA;55.645.575/0001-53;COLIGAÇÃO;09/07/2024
