TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
NA BOCA DO POVO;PRODAV 01;2009;03.189.055/0001-80;ABBAS FILMES LTDA.;03.189.055/0001-80;ABBAS FILMES LTDA.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;14/09/2011;R$ 400.000,00;01/04/2013;R$ 400.000,00
LEPORELLA;PRODECINE 01;2009;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;21/03/2012;R$ 500.000,00;;R$ 0,00
MEU AMIGÃOZÃO;PRODAV 01;2009;02.683.477/0001-44;LD LABORATÓRIO DE DESENHOS LTDA;02.683.477/0001-44;LD LABORATÓRIO DE DESENHOS LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;15/09/2011;R$ 1.000.000,00;20/10/2011;R$ 1.000.000,00
NÃO SE PREOCUPE, NADA VAI DAR CERTO;PRODECINE 01;2009;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;30/03/2011;R$ 982.145,00;08/04/2011;R$ 982.145,00
PROCURA-SE;PRODECINE 01;2009;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;28/10/2011;R$ 914.073,50;09/12/2011;R$ 914.073,50
AS AVENTURAS DO PEQUENO COLOMBO;PRODECINE 02;2009;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;07.060.648/0001-00;INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;25/04/2011;R$ 1.500.000,00;06/08/2012;R$ 1.500.000,00
AS MICROAVENTURAS DE TITO E MUDA;PRODAV 01;2009;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;31/10/2011;R$ 550.000,00;08/09/2016;R$ 550.000,00
XINGU;PRODECINE 01;2009;02.525.725/0001-29;O2 CINEMA LTDA;02.525.725/0001-29;O2 CINEMA LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;28/07/2011;R$ 1.400.000,00;17/08/2011;R$ 1.400.000,00
ZICA E OS CAMALEÕES;PRODAV 01;2009;02.762.890/0001-02;CINEMA ANIMADORES LTDA. EPP;02.762.890/0001-02;CINEMA ANIMADORES LTDA. EPP;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;11/11/2011;R$ 1.000.000,00;15/01/2013;R$ 1.000.000,00
IMAGENS DO ESTADO NOVO;PRODAV 01;2009;01.519.695/0001-85;BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI;01.519.695/0001-85;BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;23/08/2011;R$ 500.000,00;28/11/2014;R$ 500.000,00
A FRENTE FRIA QUE A CHUVA TRAZ;PRODECINE 01;2009;04.092.785/0001-20;C.H.G. CAMARGO RIBAS;04.092.785/0001-20;C.H.G. CAMARGO RIBAS;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;16/05/2011;R$ 1.000.000,00;26/11/2013;R$ 1.000.000,00
A GRANDE IDEIA - BRASIL;PRODAV 01;2009;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;02.608.224/0001-06;CANAL BRAZIL S/A;11/11/2011;R$ 195.222,00;03/12/2011;R$ 195.222,00
A ÚLTIMA ESTAÇÃO;PRODECINE 01;2009;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;60.469.871/0001-80;CINEMATOGRÁFICA POLIFILMES LTDA-ME;15/07/2011;R$ 554.014,15;01/08/2011;R$ 554.014,15
A ESTRADA 47;PRODECINE 02;2009;72.672.017/0001-04;CANNES PRODUÇÕES S/A;01.713.311/0001-60;TRES MUNDOS CINE Y VIDEO LTDA.;72.672.017/0001-04;CANNES PRODUÇÕES S/A;11/05/2011;R$ 1.800.000,00;24/05/2011;R$ 1.800.000,00
AMAZÔNIA - PLANETA VERDE;PRODECINE 02;2009;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;07/06/2011;R$ 1.800.000,00;27/06/2011;R$ 1.800.000,00
ACORDA BRASIL!;PRODECINE 01;2009;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;18/07/2012;R$ 1.500.000,00;24/08/2012;R$ 1.500.000,00
A MULHER DO MEU MARIDO;PRODECINE 02;2009;72.672.017/0001-04;CANNES PRODUÇÕES S/A;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;72.672.017/0001-04;CANNES PRODUÇÕES S/A;30/10/2012;R$ 1.500.000,00;;R$ 0,00
ANJOS DA LAPA;PRODECINE 02;2009;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;03.435.290/0001-94;FILMES MAIS LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;15/07/2013;R$ 1.240.000,00;17/11/2014;R$ 1.240.000,00
ESTAMOS JUNTOS;PRODECINE 01;2009;01.605.800/0001-07;OLHAR IMAGINÁRIO LTDA;01.605.800/0001-07;OLHAR IMAGINÁRIO LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;16/05/2011;R$ 580.000,00;01/06/2011;R$ 580.000,00
AOS VENTOS QUE VIRÃO;PRODECINE 01;2009;71.617.252/0001-02;LUZ XXI CINE VIDEO LTDA;71.617.252/0001-02;LUZ XXI CINE VIDEO LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;16/05/2011;R$ 500.000,00;06/07/2011;R$ 500.000,00
APARECIDA, O MILAGRE;PRODECINE 01;2009;36.007.649/0001-81;VITÓRIA PRODUÇÕES CINEMATOGRÁFICAS LTDA.;36.007.649/0001-81;VITÓRIA PRODUÇÕES CINEMATOGRÁFICAS LTDA.;27.654.722/0001-16;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;07/12/2012;R$ 1.000.000,00;10/01/2013;R$ 1.000.000,00
BANDIDOS E MOCINHAS;PRODECINE 01;2009;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;21/03/2012;R$ 1.000.000,00;;R$ 0,00
AS AVENTURAS DO AVIÃO VERMELHO;PRODECINE 01;2009;04.909.742/0001-95;CAMILA GONZATTO & FREDERICO PINTO LTDA - ME;04.909.742/0001-95;CAMILA GONZATTO & FREDERICO PINTO LTDA - ME;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;13/10/2011;R$ 829.966,10;27/10/2011;R$ 829.966,10
BONITINHA MAS ORDINÁRIA;PRODECINE 02;2009;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;01/06/2011;R$ 500.000,00;31/10/2011;R$ 500.000,00
BEIRA DO CAMINHO;PRODECINE 01;2009;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;14/11/2012;R$ 1.206.746,32;23/03/2017;R$ 1.206.746,32
BOA NOITE, MARTHA;PRODAV 01;2009;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;29/09/2011;R$ 500.000,00;13/04/2012;R$ 500.000,00
BOCA;PRODECINE 01;2009;02.395.043/0001-49;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;02.395.043/0001-49;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;14.589.221/0001-51;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;01/06/2011;R$ 215.259,60;17/06/2011;R$ 215.259,60
BUGIGANGUE NO ESPAÇO;PRODECINE 01;2009;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;26/05/2011;R$ 1.000.000,00;23/11/2012;R$ 1.000.000,00
ATÉ QUE A SORTE NOS SEPARE;PRODECINE 02;2009;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;19/04/2011;R$ 2.000.000,00;15/12/2011;R$ 2.000.000,00
CAPITÃES DA AREIA;PRODECINE 01;2009;00.700.805/0001-48;LAGOA CULTURAL E ESPORTIVA LTDA;00.700.805/0001-48;LAGOA CULTURAL E ESPORTIVA LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;14/11/2011;R$ 1.000.000,00;15/02/2012;R$ 1.000.000,00
BRAZUCAS!;PRODAV 01;2009;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;16/09/2011;R$ 500.000,00;26/10/2012;R$ 500.000,00
BRICHOS;PRODAV 01;2009;02.585.713/0001-90;TECNOKENA AUDIOVISUAL E MULTIMIDIA EIRELI;02.585.713/0001-90;TECNOKENA AUDIOVISUAL E MULTIMIDIA EIRELI;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;13/04/2012;R$ 1.000.000,00;22/06/2012;R$ 1.000.000,00
BRUNA SURFISTINHA - O DOCE VENENO DO ESCORPIÃO;PRODECINE 01;2009;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;26/12/2011;R$ 557.963,00;15/02/2012;R$ 557.963,00
VISCERAL BRASIL - AS VEIAS ABERTAS DA MÚSICA;PRODAV 01;2010;74.107.475/0001-18;TAMBKE FILMES LTDA;74.107.475/0001-18;TAMBKE FILMES LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;08/08/2013;R$ 500.000,00;16/09/2013;R$ 500.000,00
A ESPERANÇA É A ÚLTIMA QUE MORRE;PRODECINE 02;2010;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;30/07/2013;R$ 1.750.000,00;03/09/2013;R$ 1.750.000,00
MEU AMIGÃOZÃO - O FILME;PRODECINE 02;2010;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;02.683.477/0001-44;LD LABORATÓRIO DE DESENHOS LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;15/07/2013;R$ 2.500.000,00;02/09/2013;R$ 2.250.000,00
MATO SEM CACHORRO;PRODECINE 01;2010;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;14/09/2012;R$ 1.500.000,00;25/10/2012;R$ 1.500.000,00
MERCADOS;PRODAV 01;2010;10.331.623/0001-09;SETE PERSONAGENS PRODUÇÕES CULTURAIS LTDA;10.331.623/0001-09;SETE PERSONAGENS PRODUÇÕES CULTURAIS LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;10/04/2013;R$ 500.000,00;24/10/2014;R$ 500.000,00
MALASARTES;PRODECINE 02;2010;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;02.525.725/0001-29;O2 CINEMA LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;24/07/2012;R$ 2.000.000,00;26/08/2015;R$ 2.000.000,00
PROVA DE CORAGEM;PRODECINE 01;2010;86.777.331/0001-58;M. SCHMIEDT PRODUÇÕES LTDA;86.777.331/0001-58;M. SCHMIEDT PRODUÇÕES LTDA;12.452.477/0001-97;UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA;10/08/2012;R$ 1.000.000,00;15/05/2014;R$ 1.000.000,00
MARESIA;PRODECINE 01;2010;03.766.122/0001-81;SOLAR FILMES LTDA - ME;03.766.122/0001-81;SOLAR FILMES LTDA - ME;00.338.948/0001-51;E.H. FILMES LTDA;16/10/2012;R$ 500.000,00;18/02/2014;R$ 500.000,00
ALGUÉM COMO EU;PRODECINE 02;2010;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09/08/2013;R$ 1.000.000,00;08/09/2016;R$ 1.000.000,00
O SHOW DA LUNA;PRODAV 01;2010;01.161.933/0001-23;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;01.161.933/0001-23;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;02/05/2013;R$ 1.900.000,00;27/05/2013;R$ 1.900.000,00
MINHA MÃE É UMA PEÇA - O FILME;PRODECINE 02;2010;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;10.645.895/0001-75;MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;24/07/2012;R$ 2.500.000,00;13/09/2012;R$ 2.500.000,00
O MENINO NO ESPELHO;PRODECINE 01;2010;03.987.306/0001-71;CAMISA LISTRADA LTDA;03.987.306/0001-71;CAMISA LISTRADA LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07/12/2012;R$ 750.000,00;13/12/2012;R$ 750.000,00
ROMANCE POLICIAL;PRODECINE 02;2010;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;05.617.531/0001-41;EL DESIERTO FILMES LTDA ME;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;18/05/2012;R$ 500.000,00;01/06/2012;R$ 500.000,00
PROJETO FUTEBOL;PRODAV 01;2010;04.727.439/0001-71;MOSQUITO VIDEO E DESIGN LTDA;04.727.439/0001-71;MOSQUITO VIDEO E DESIGN LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;20/12/2013;R$ 700.000,00;;R$ 0,00
MEU PE DE LARANJA LIMA;PRODECINE 01;2010;06.140.668/0001-10;PASSARO FILMS DO BRASIL AUDIOVISUAIS LTDA;06.140.668/0001-10;PASSARO FILMS DO BRASIL AUDIOVISUAIS LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;27/07/2012;R$ 800.000,00;27/08/2012;R$ 800.000,00
OSMAR E A PRIMEIRA FATIA DO PÃO DE FORMA, O FILME;PRODECINE 01;2010;01.287.007/0001-07;44 BICO LARGO COMERCIAL LTDA;01.287.007/0001-07;44 BICO LARGO COMERCIAL LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;06/06/2013;R$ 1.000.000,00;06/08/2013;R$ 1.000.000,00
PIXINGUINHA, UM HOMEM CARINHOSO;PRODECINE 02;2010;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;00.101.698/0001-31;YPEARTS AUDIOVISUAL EIRELI - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;24/07/2012;R$ 2.500.000,00;19/10/2012;R$ 2.250.000,00
PONTE AÉREA;PRODECINE 02;2010;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;42.473.256/0001-66;MORENA FILMES EIRELI - ME;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;25/09/2012;R$ 1.500.000,00;;R$ 0,00
QUASE SAMBA;PRODECINE 02;2010;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;02.140.120/0001-10;BANANEIRA FILMES LTDA.;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;27/06/2012;R$ 358.000,00;05/09/2012;R$ 358.000,00
HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS;PRODECINE 01;2010;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;13/07/2012;R$ 210.000,00;06/08/2012;R$ 210.000,00
TURMA DO XAXADO;PRODAV 01;2010;14.372.650/0001-72;LIBERATO PRODUÇÕES CULTURAIS LTDA;14.372.650/0001-72;LIBERATO PRODUÇÕES CULTURAIS LTDA;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;21/12/2012;R$ 200.000,00;25/02/2013;R$ 200.000,00
UM FILME DE CINEMA;PRODECINE 01;2010;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;08.427.088/0001-34;DE FELIPPES FILMES E PRODUÇÕES LTDA;19/06/2012;R$ 250.000,00;27/07/2012;R$ 250.000,00
VAI DAR SAMBA;PRODAV 01;2010;05.256.465/0001-21;URCA FILMES LTDA;05.256.465/0001-21;URCA FILMES LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;15/07/2013;R$ 1.200.000,00;;R$ 0,00
VAN BORA!;PRODAV 01;2010;04.760.800/0001-61;MERCÚRIO PRODUÇÕES LTDA-ME;04.760.800/0001-61;MERCÚRIO PRODUÇÕES LTDA-ME;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;22/04/2013;R$ 600.000,00;10/07/2013;R$ 600.000,00
VAZANTE;PRODECINE 01;2010;66.876.707/0001-74;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;66.876.707/0001-74;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;12.452.477/0001-97;UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA;02/04/2013;R$ 750.000,00;30/07/2015;R$ 750.000,00
VENDO OU ALUGO;PRODECINE 01;2010;02.229.175/0001-09;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;02.229.175/0001-09;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;72.672.017/0001-04;CANNES PRODUÇÕES S/A;10/04/2013;R$ 500.000,00;07/05/2013;R$ 500.000,00
TATUAGEM;PRODECINE 01;2010;02.669.022/0001-74;REC PRODUTORES ASSOCIADOS LTDA;02.669.022/0001-74;REC PRODUTORES ASSOCIADOS LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;09/10/2012;R$ 748.000,00;09/11/2012;R$ 748.000,00
BILLI PIG;PRODECINE 01;2010;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;28/05/2012;R$ 800.000,00;05/06/2012;R$ 800.000,00
TIO MUSSARELA;PRODAV 01;2010;14.372.650/0001-72;LIBERATO PRODUÇÕES CULTURAIS LTDA;14.372.650/0001-72;LIBERATO PRODUÇÕES CULTURAIS LTDA;13.420.609/0001-61;INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA IRDEB;08/08/2013;R$ 1.000.000,00;;R$ 0,00
TODO AMOR;PRODECINE 01;2010;07.832.283/0001-87;PONTOS DE FUGA PRODUÇÕES ARTISTICAS LTDA;07.832.283/0001-87;PONTOS DE FUGA PRODUÇÕES ARTISTICAS LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;31/05/2013;R$ 750.000,00;15/07/2015;R$ 675.000,00
TORDESILHAS;PRODAV 01;2010;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;08/03/2013;R$ 1.000.000,00;13/12/2013;R$ 1.000.000,00
MINHA TRIBO;PRODAV 01;2010;07.477.471/0001-34;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;60.628.369/0001-75;RADIO E TELEVISAO RECORD S.A;09/08/2013;R$ 500.000,00;24/10/2014;R$ 500.000,00
TROMBA TREM - EPISÓDIOS 14 A 26;PRODAV 01;2010;09.551.826/0001-13;COPA STUDIO PRODUTORA AUDIOVISUAL LTDA;09.551.826/0001-13;COPA STUDIO PRODUTORA AUDIOVISUAL LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;25/02/2013;R$ 1.400.000,00;01/04/2013;R$ 1.400.000,00
SANGUE AZUL;PRODECINE 01;2010;02.902.219/0001-01;DRAMA FILMES LTDA.;02.902.219/0001-01;DRAMA FILMES LTDA.;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;20/07/2012;R$ 750.000,00;28/09/2012;R$ 750.000,00
TAINÁ 3 - A ORIGEM;PRODECINE 01;2010;42.488.478/0001-52;SINCROCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA;42.488.478/0001-52;SINCROCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;05/10/2012;R$ 900.000,00;01/11/2012;R$ 900.000,00
TAÍS & TAIANE;PRODECINE 01;2010;01.111.024/0001-80;ALBATROZ CINEMATOGRÁFICA LTDA;01.111.024/0001-80;ALBATROZ CINEMATOGRÁFICA LTDA;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;24/07/2012;R$ 899.000,00;04/03/2013;R$ 899.000,00
FANÁTICOS;PRODAV 01;2010;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.390.444/0001-79;TOPSPORTS VENTURES LTDA.;22/04/2013;R$ 700.000,00;29/05/2014;R$ 700.000,00
A FLORESTA QUE SE MOVE;PRODECINE 02;2010;12.452.477/0001-97;UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA;00.338.948/0001-51;E.H. FILMES LTDA;12.452.477/0001-97;UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA;13/05/2013;R$ 1.000.000,00;09/06/2015;R$ 1.000.000,00
E AÍ, COMEU?;PRODECINE 02;2010;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09.558.964/0001-24;CASÉ FILMES LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;28/05/2012;R$ 2.250.000,00;11/06/2012;R$ 2.250.000,00
BEATRIZ;PRODECINE 01;2010;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;21/10/2013;R$ 500.000,00;12/11/2013;R$ 500.000,00
ENTRE O CÉU E A TERRA;PRODECINE 01;2010;73.668.295/0001-42;RF CINEMA E TV LTDA;73.668.295/0001-42;RF CINEMA E TV LTDA;33.897.794/0001-97;IPANEMA FILMES LTDA;10/04/2013;R$ 1.500.000,00;;R$ 0,00
ENTRE VALES E MONTANHAS;PRODECINE 01;2010;03.382.581/0001-61;POLO DE IMAGEM LTDA (BAIXADO);03.382.581/0001-61;POLO DE IMAGEM LTDA (BAIXADO);08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;24/10/2012;R$ 500.000,00;09/11/2012;R$ 500.000,00
À QUEIMA ROUPA;PRODECINE 01;2010;01.464.291/0001-31;KINOFILMES PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;01.464.291/0001-31;KINOFILMES PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;04/01/2013;R$ 623.000,00;28/03/2013;R$ 623.000,00
ÉDEN;PRODECINE 01;2010;02.342.813/0001-95;TB PRODUÇÕES LTDA;02.342.813/0001-95;TB PRODUÇÕES LTDA;15.263.576/0001-19;LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME;24/07/2012;R$ 407.000,00;27/08/2012;R$ 407.000,00
CORRIDA DOS BICHOS;PRODECINE 01;2010;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;72.672.017/0001-04;CANNES PRODUÇÕES S/A;11/07/2013;R$ 1.000.000,00;;R$ 0,00
CONDOMÍNIO JAQUELINE;PRODAV 01;2010;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;03.347.577/0001-62;FOX LATIN AMERICAN CHANNELS DO BRASIL LTDA;25/02/2013;R$ 1.200.000,00;23/05/2013;R$ 1.200.000,00
