Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2010;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""5 X Favela, Agora por Nós Mesmos""";Competição Ópera Prima;Cacá Diegues/Cacau Amaral/Cadu Barcelos/Luciana Bezerra/Luciano Vidigal/Manaíra Carneiro/Rodrigo Felha/Wagner Novais;Luz Mágica Produções;RJ;Longa;B1001180900000;X;X;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""O Dragão da Maldade Contra o Santo Guerreiro""";Forum of New Cinema;Glauber Rocha;Mapa Filmes;RJ;Longa;B0400084200000;X;X;X
2010;Festival de Cinema de Cartagena;Colômbia;Fevereiro;"""Moscou""";Competição oficial de documentários;Eduardo Coutinho;Matizar/Videofilmes;RJ;Longa;B0901041200000;X;X;
2010;Festival Internacional de Cinema de Munique;Alemanha;Junho/Julho;"""Copacabana Mon Amour""";Visiones Latinas;Rogério Sganzerla;Mercúrio Produções;SP;Longa;B0300030800000;X;X;X
2010;Festival de Cinema de Locarno;Suíça;Agosto;"""Luz nas Trevas - A Revolta de Luz Vermelha""";Competição internacional principal;Ícaro Martins/Helena Ignez;Mercúrio Produções;SP;Longa;B1001290000000;X;X;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Besouro""";Panorama special;João Daniel Tikhomiroff;Mixer Films;RJ;Longa;B0901080700000;X;X;X
2010;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Besouro""";Competição Ópera Prima;João Daniel Tikhomiroff;Mixer Films;RJ;Longa;B0901080700000;X;X;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Lixo Extraordinário""";Panorama dokumente;Karen Harley/João Jardim/Lucy Walker;O2 Filmes;SP;Longa;B1001276700000; ; ;X
2010;Festival du Cinéma Brésilien de Paris;França;Maio;"""Cidadão Boilesen""";Mostra documentario;Chaim Litewski;Palmares Produções e Jornalismo;RJ;Longa;B0901061000000; ; ;X
2010;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Viajo Porque Preciso,Volto Porque Te Amo""";"Competição ""Coup de Coeur""";Karim Aïnouz/Marcelo Gomes;Rec Produtores Associados;PE;Longa;B0901083500000;X;X;
2010;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""Viajo Porque Preciso,Volto Porque Te Amo""";World Competition;Karim Aïnouz/Marcelo Gomes;Rec Produtores Associados;PE;Longa;B0901083500000;X;X;
2010;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Agosto;"""Viajo Porque Preciso,Volto Porque Te Amo""";Competição internacional;Karim Aïnouz/Marcelo Gomes;Rec Produtores Associados;PE;Longa;B0901083500000; ; ;X
2010;Festival Internacional de Cinema de Munique;Alemanha;Junho/Julho;"""Belair""";Visiones Latinas;Bruno Safadi/Noa Bressane;TB Produções;RJ;Longa;B1001191000000;X;X;X
2010;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Dzi Croquettes""";Competição de Documentários;Raphael Alvarez/Tatiana Issa;Tria Productions;RJ;Longa;B1001211600000;X;X;X
2010;Festival du Cinéma Brésilien de Paris;França;Maio;"""Dzi Croquettes""";Filme de abertura do festival/Mostra documentario;Raphael Alvarez/Tatiana Issa;Tria Productions;RJ;Longa;B1001211600000; ; ;X
2010;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Corumbiara""";Competição de Documentários;Vincent Carelli;Vídeo nas Aldeias;PE;Longa;B0901050500000;X;X;X
2010;Festival Internacional de Cinema de Punta del Este;Uruguai;Março;"""No Meu Lugar""";Competição Oficial Ibero-americano;Eduardo Valente;Videofilmes;RJ;Longa;B0901027100000; ;X;X
2010;ATLANTIDOC - Festival Internacional de Cinema Documentário do Uruguai;Uruguai;Dezembro;"""Uma Noite em 67""";Competição Internacional Principal;Renato Terra/Ricardo Calil;Videofilmes;RJ;Longa;B1001229000000; ; ;X
2010;Festival Internacional de Cinema de Guadalajara;México;Março;"""Entre a Luz e a Sombra""";Competição Oficial Longa-metragens de documentário iberoamericanos;Luciana Burlamaqui;Zora Mídia;SP;Longa;B0901091900000;X; ;X
2010;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Agosto;"""Entre a Luz e a Sombra""";Competição internacional;Luciana Burlamaqui;Zora Mídia;SP;Longa;B0901091900000; ; ;X
2010;Festival de Cinema de Huesca;Espanha;Junho;"""A Noite por Testemunha""";Concurso Iberoamericano de curta-metragens;Bruno Torres;Aquarela;DF;Média;B1001204000000;X;X;X
2010;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""Recife Frio""";Spectrum Shorts;Kleber Mendonça Filho;CinemaScópio;PE;Média;B1001132800000;X;X;
2010;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro/Fevereiro;"""A Mulher Biônica""";International Competion;Armando Praça;Drama Produções Artísticas;CE;Média;B0900999800000;X;X;X
2010;IDFA - Festival Internacional de Documentários de Amsterdam;Holanda;Novembro;"""A Terra da Lua Partida""";Green Screen Competition/Mid-Lenght Competition;Marcos de Albuquerque Negrão;Enigma Filmes;RJ;Média;B1101502800000; ; ;X
2010;Festival Internacional de Cinema de Guadalajara;México;Março;"""Groelândia""";Competição Oficial Curta-metragens iberoamericanos;Rafael Meira de Figueiredo;Manga Rosa Filmes;RS;Média;B0901064700000; ;X;X
2010;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Taba""";Competição Curtas-Metragens;Marcos Pimentel;Marcos Almeida Pimentel;MG;Média;B1001257300000; ; ;X
2010;Zinebi - Festival Internacional de Documentários e Filmes de Curta-metragem de Bilbao;Espanha;Novembro;"""Actus""";Seção Oficial - Concurso Internacional;Juliana Teixeira Nicolela;Nation Filmes ;SP;Média;B1101443700000; ; ;X
2010;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro/Fevereiro;"""Não me Deixe em Casa""";International Competion;Daniel Aragão;Orquestra Cinema Estúdios;PE;Média;B1001223400000; ;X;X
2010;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Para Pedir Perdão""";Competencia Cortometrages internacionales;Iberê Carvalho;Pavirada Filmes/TMTA Comunicação;DF;Média;B1001293500000; ; ;X
2010;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Um Lugar ao Sol""";Competição de Documentários;Gabriel Mascaro;Símio Filmes;PE;Média;B1001165300000;X; ;X
2010;Festival de Cinema de Cartagena;Colômbia;Fevereiro;"""Um Lugar ao Sol""";Competição oficial de documentários;Gabriel Mascaro;Símio Filmes;PE;Média;B1001165300000;X;X;X
2010;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""Um Lugar ao Sol""";Dox Competion;Gabriel Mascaro;Símio Filmes;PE;Média;B1001165300000; ;X;X
2010;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""Amigos Bizarros do Ricardinho""";Competição de curtas-metragens;Augusto Canani;Tempo Porto Alegre;RS;Média;B1001190400000;X;X;X
2010;New Directors New Films;Estados Unidos;Março/Abril;"""Amigos Bizarros do Ricardinho""";Não competitivo;Augusto Canani;Tempo Porto Alegre;RS;Média;B1001190400000;X;X;X
2010;Festival du Cinéma Brésilien de Paris;França;Maio;"""Nasci para Bailar: João Donato Havana - Rio""";Mostra documentario;Tete Moraes;Vemver Brasil;RJ;Média;B0901112900000; ; ;X
2010;"International Documentary Film Festival ""Santiago Álvarez in Memoriam""";Cuba;Março;"""Nasci para Bailar: João Donato Havana - Rio"""; -;Tete Moraes;Vemver Brasil;RJ;Média;B0901112900000; ; ;X
2011;Festival de Cinema de Cartagena;Colômbia;Fevereiro/Março;"""São Paulo Railway""";Competição oficial de curta-metragem;Marcelo Muller;Acere;SP;Curta;B1001232100000;X;X;
2011;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Maio;"""Adormecidos""";International Competition;Clarissa Campolina;Anavilhana;MG;Curta;B1101440000000;X;  ;X
2011;Festival Internacional de Cinema de Guadalajara;México;Março/Abril;"""Um Outro Ensaio""";Competição Oficial Curta-metragens iberoamericanos;Nataraney Nunes dos Santos;Arrudeia Filmes;RJ;Curta;B1101529100000; ;  ;X
2011;Festival de Cinema de Huesca;Espanha;Junho;"""O Gigante do Papelão""";Concurso Iberoamericano de curta-metragens documental;Bárbara Tavares;Bárbara de Oliveira Tavares;RJ;Curta;B1001339400000;X;X;X
2011;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""Inquérito Policial Nº 0521/09""";Competição de curtas-metragens;Vinícius Casimiro;Bláblá Filmes;SP;Curta;B1101360000000;X;X;X
2011;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro/Dezembro;"""Inquérito Policial Nº 0521/09""";Competencia Internacional de Cortometrajes de Ficcíon;Vinícius Casimiro;Bláblá Filmes;SP;Curta;B1101360000000; ;X;X
