ano,territorio_tipo,territorio_nome,uf,regiao,origem_filme,publico,renda_brl_nominal,lugares_oferecidos,fonte_documento,confiabilidade,indicador,valor,unidade_original,mes,mes_nome
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,148833.88,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,148833.88,CRUZADO,8.0,AGOSTO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,92155.62,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,92155.62,CRUZADO,8.0,AGOSTO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,157132.68,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,157132.68,CRUZADO,8.0,AGOSTO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,284170.96,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,284170.96,CRUZADO,8.0,AGOSTO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,134475.22,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,134475.22,CRUZADO,9.0,SETEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,95688.95,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,95688.95,CRUZADO,9.0,SETEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,155049.7,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,155049.7,CRUZADO,9.0,SETEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,296317.18,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,296317.18,CRUZADO,9.0,SETEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,124730.52,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,124730.52,CRUZADO,10.0,OUTUBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,86244.03,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,86244.03,CRUZADO,10.0,OUTUBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,140640.79,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,140640.79,CRUZADO,10.0,OUTUBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,283698.1,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,283698.1,CRUZADO,10.0,OUTUBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,127166.5,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,127166.5,CRUZADO,11.0,NOVEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,87947.64,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,87947.64,CRUZADO,11.0,NOVEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,140422.84,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,140422.84,CRUZADO,11.0,NOVEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,316715.89,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,316715.89,CRUZADO,11.0,NOVEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,114518.2,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,114518.2,CRUZADO,12.0,DEZEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,121623.16,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,121623.16,CRUZADO,12.0,DEZEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,162074.87,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,162074.87,CRUZADO,12.0,DEZEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,339355.77,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,339355.77,CRUZADO,12.0,DEZEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,1922085.6,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1922085.6,CRUZADO,,
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,1309514.7,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1309514.7,CRUZADO,,
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,1558379.29,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1558379.29,CRUZADO,,
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,2867319.53,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2867319.53,CRUZADO,,
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,1266760.9,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1266760.9,CRUZADO,,
1982,regiao,Norte,,Norte,nacionais_e_estrangeiros,,766643.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-por-regiao-do-brasil-embrafilme.pdf,oficial_compilado,renda_brl_nominal,766643.0,CRUZADO,,
1983,regiao,Norte,,Norte,nacionais_e_estrangeiros,,1606698.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-por-regiao-do-brasil-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1606698.0,CRUZADO,,
