TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
A CHUVA NÃO ME VIU PASSAR;B2300370100000;29/08/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;19;;2023;;SALAS DE EXIBIÇÃO;NÃO;30.402.908 LEONARDO LUIZ KAULING GATTI;30.402.908/0001-92;SC;FLORIANOPOLIS
A CIDADE É NOSSA;B2300288700000;17/07/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,3;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;DM2 RECORDS PRODUCOES LTDAS ME;09.280.172/0001-30;SP;SANTOS
A CONCHA ME CONTOU;B2300516900000;17/11/2023;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6;;2023;;OUTROS MERCADOS;NÃO;INSTITUTO DE DESENVOLVIMENTO SOCIAL E GESTÃO DE PROD. CULTURAL, ARTÍSTICA E AUDIOVISUAL-MARLIN AZUL;03.132.906/0001-58;ES;VITORIA
A CONFISSÃO DAS MENINAS;B2300572100000;21/12/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;8,1;;2023;;SALAS DE EXIBIÇÃO;NÃO;INQUIETO CRIACAO DE CONTEUDO LTDA;26.461.622/0001-00;RJ;RIO DE JANEIRO
A COR DO AMOR;B2300450000000;14/10/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,7;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;42 CRIATIVA LTDA;30.908.200/0001-08;BA;SALVADOR
A CORDA MI;B2300435300000;04/10/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,2;;2022;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ORPHEUS PRODUÇÕES CULTURAIS LTDA.;04.429.146/0001-08;SP;SAO PAULO
A COZINHA;B2300559800000;13/12/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;62,6;;2023;;SALAS DE EXIBIÇÃO;NÃO;HIPERBOLE PRODUCOES ARTISTICAS LTDA;15.213.188/0001-23;RJ;RIO DE JANEIRO
A CULPA É DO CORAÇÃO – DVD PIXOTE #TRINTOU;B2300367400000;28/08/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,8;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GR SHOWS PRODUÇÕES ARTÍSTICAS;23.276.383/0001-20;SP;SAO PAULO
A CÓPIA;B2300515400000;16/11/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;7,0;;2023;;OUTROS MERCADOS;NÃO;NARRATIVA FILMES LTDA;20.820.497/0001-00;PB;JOAO PESSOA
A DANÇA DAS ÁGUAS;B2300215500000;12/06/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;8,1;;2023;;OUTROS MERCADOS - AUDIOVISUAL EM TRANSPORTE COLETIVO;NÃO;GABRIEL SANTOS CHAVES;PESSOA FÍSICA;BA;VITORIA DA CONQUISTA
