TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
Cerrado Press Trip;Documentário;30/09/2018 a 06/10/2018;TERRA VERMELHA FILMES LTDA. EPP;RJ;WWF UK;Reino Unido;1;
The World Border (Sekai no kokyo wo aruite mitara);Documentário;10/10/2018 a 30/10/2018;TOWN NETWORK FILMAGENS LTDA.;SP;Medio One Co. Ltd.;Japão;4;
HyperDrive - Brazil home Follows;Reality Show;06/10/2018 a 08/10/2018;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media LLC;Estados Unidos;1;
O Trem da utopia;Documentário;09/10/2018 a 07/11/2018;CINEMATOGRÁFICA SUPERFILMES LTDA;SP;-;-;1;
"""The Double Dealer""";Documentário;01/12/2018 a 07/12/2018;DAVIES & LUZZI LTDA- ME;SP;Top Hat Productions;Reino Unido;3;
AMAZONIAN COSMOS;Documentário;23/10/2018 a 01/11/2018;Macchiato Produção Ltda;RJ;AMKAFilms Productions S.A;Suíça;3;
Cabana;Institucional;19/10/2018 a 23/10/2018;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media LLC;Estados Unidos;1;
Pelé 1ª. Fase;Documentário;12/10/2018 a 23/10/2018;SARAGUINA FILMES E PRODUÇÕES EIRELI;RJ;Pitch International;Reino Unido;6;
HOT SPOT - Último Paraíso - PARTE 3;Documentário;25/10/2018 a 31/12/2018;THE AMAZON TOUCH PRODUÇÕES LTDA;GO;Nippon Hoso Kyokai (NHK) - Japan Broadcasting Corporation;Japão;3;
Nova Lenda da Vida de Animais - Parte 4;Documentário;08/11/2018 a 30/12/2018;THE AMAZON TOUCH PRODUÇÕES LTDA;GO;Nippon Hoso Kyokai (NHK) - Japan Broadcasting Corporation;Japão;4;
URUBÚ;Ficção;11/10/2018 a 11/12/2018;MARIA DE FATIMA SANTAGATA - ME;AM;Urubú Filmes AIE;Espanha;16;
"""Golden Doodles""";Obra Publicitária;18/10/2018 a 13/11/2018;DOMO PRODUÇÕES LTDA;SP;Ruffian;Estados Unidos;7;
JUNGLE CRUISE - PARTE 2;Ficção;15/10/2018 a 28/10/2018;MARC VIDEO PRODUCOES EM CINE E VT EIRELI;SP;Crocus Productions, Inc.;Estados Unidos;8;
Pro League Finals;Documentário;09/11/2018 a 22/11/2018;DOMO PRODUÇÕES LTDA;SP;Artifact Nonfiction;Estados Unidos;4;
The Future is Fluid;Documentário;29/10/2018 a 02/11/2018;FILMES TO GO PRODUÇÕES LTDA - ME;RJ;RSA Filmes Ltd;Reino Unido;3;
Trace: Anatomy of fraud;Documentário;21/10/2018 a 27/10/2018;VIVA FILMES LTDA.;RJ;Curved Sky Pictures;Canadá;5;
Manida Ubatuba;Obra Publicitária;29/10/2018 a 04/11/2018;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media LLC;Estados Unidos;10;
Um Japonês nos Confins do Mundo - Parte 2 Bonito;Documentário;16/11/2018 a 02/12/2018;XES PROJETOS VISUAIS LTDA - ME;SP;Guild, Inc;Japão;6;
“BRASIL, um mercado com 200 milhões de habitantes, um pais continental com potencial ilimitado.”;Documentário;26/10/2018 a 03/11/2018;AURA FILME PRODUÇÕES LTDA;RJ;Seoul Broadcast System;Corea do Sul;4;
KAZOKU NI NAROUYO;Documentário;21/11/2018 a 20/12/2018;SANGO PRODUCTION LTDA;SP;SMALL Hope Baye Productions CO Ltd;Japão;3;
THE DISCONNECTED CHALLENGE;Documentário;30/10/2018 a 31/10/2018;CANHOTA PRODUÇÕES CINEMATOGRAFICAS LTDA;RJ;NIPPUR MEDIA;Estados Unidos;0;
Elevators;Institucional;05/11/2018 a 09/11/2018;VIVA FILMES LTDA.;RJ;Quite Frankly Productions;Estados Unidos;4;
Project Manaus part 3;Documentário;03/11/2018 a 15/11/2018;VIVA FILMES LTDA.;RJ;Silvervan Productions;Reino Unido;2;
Whatsapp no Brasil;Documentário;08/12/2018 a 14/12/2018;MARUTI BLUE PRODUCOES E EVENTOS EIRELI;RJ;JZB Projects;Estados Unidos;3;
The Island Diary - Marajó;Documentário;28/11/2018 a 09/12/2018;N S JAYANETTI PRODUÇÕES E EVENTOS;RJ;DBcom Media/DBC2 Inc.;Canadá;4;
The World's Most Dangerous Roads;Documentário;14/11/2018 a 20/11/2018;GATA CINE PRODUÇÕES LTDA;SP;WARNER BROS TELEVISION;Holanda;6;
Échappées Belles;Programa de TV;12/11/2018 a 27/11/2018;IGOR DE MIRANDA OLSZOWSKI ME;RJ;BO TRAVAIL !;França;6;
SOLIDARITÉ;Documentário;16/11/2018 a 25/11/2018;MULTIPHOCUS ARTE & COMUNICACAO LTDA ME;RJ;VALDÉS SAS;França;4;
UMA OUTRA FAMÍLIA;Obra Publicitária;15/11/2018 a 30/11/2018;TOWN NETWORK FILMAGENS LTDA.;SP;AT ARMZ Inc.;Japão;5;
"""FIFA 19""";Obra Publicitária;05/11/2018 a 20/11/2018;OCEAN PRODUÇÃO DE FILMES LTDA;SC;SUPER FILMS;Estados Unidos;3;
Finally Home / Finalmente em casa;Série;20/11/2018 a 27/11/2018;ALO VIDEO LTDA - ME;RJ;KRO-NCRV Television;Holanda;8;
Pelé 2a. fase;Documentário;12/11/2018 a 24/03/2019;SARAGUINA FILMES E PRODUÇÕES EIRELI;RJ;Pitch International;Reino Unido;5;
"""RIPLEY'S BELIEVE IT OR NOT!""";Documentário;11/11/2018 a 13/11/2018;STORY PRODUÇÕES LTDA - ME;SP;TEXAS CREW LTD.;Estados Unidos;0;
Bios;Documentário;30/11/2018 a 21/12/2018;SOL ENTERTAINMENT LTDA;RJ;Underground Producciones AS;Argentina;6;
House Hunters International;Programa de TV;28/11/2018 a 04/12/2018;STORY PRODUÇÕES LTDA - ME;SP;LEOPARD USA LTD.;Estados Unidos;3;
Behind the Code;Obra Publicitária;07/11/2018 a 17/11/2018;DOMO PRODUÇÕES LTDA;SP;O-Positive;Estados Unidos;2;
