"""Valores Recolhidos por Programadora - Art. 39 da MP 2.228-1/01 - Em Reais (R$) - 2003 a 2017""";;
;;
"""Ano de Recolhimento""";"""Programadora Estrangeira""";"""Valor (R$)"""
"""2004""";"""AMC NETWORKS LATIN AMERICA LLC""";"""156261,14"""
"""2004""";"""AXN LATIN AMERICA INC""";"""272895,31"""
"""2004""";"""BLOOMBERG L.P.""";"""14,27"""
"""2004""";"""BRASIL DISTRIBUTION, L.L.C.""";"""5105179,32"""
"""2004""";"""BUENA VISTA INTERNATIONAL, INC""";"""201245,98"""
"""2004""";"""CARSON INTERNATIONAL LTD.""";"""18800,81"""
"""2004""";"""CROWN MEDIA INTERNATIONAL, LLC""";"""23561,7"""
"""2004""";"""DIRECTV LATIN AMERICA, LLC""";"""7573623,2"""
"""2004""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""1405210,95"""
"""2004""";"""EUROCHANNEL""";"""98352,66"""
"""2004""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""1431568,57"""
"""2004""";"""IMAGEN SATELITAL S. A .""";"""135209,59"""
"""2004""";"""LOCOMOTION CHANNEL""";"""14032,81"""
"""2004""";"""MTV NETWORKS LATIN AMERICA INC.""";"""406553,48"""
"""2004""";"""NHK GLOBAL MEDIA SERVICE""";"""16002,8"""
"""2004""";"""PLAYBOY TV LATIN AMERICA LLC""";"""250524,72"""
"""2004""";"""PRAMER SCA""";"""5517,12"""
"""2004""";"""SOUND TRACK CHANNEL LLC""";"""25407,21"""
"""2004""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""2036757,96"""
"""2004""";"""TV5 MONDE""";"""4552,12"""
"""2004""";"""VENUS TV, INC.""";"""25974,38"""
"""2003""";"""AMC NETWORKS LATIN AMERICA LLC""";"""145588,52"""
"""2003""";"""AXN LATIN AMERICA INC""";"""278654,3"""
"""2003""";"""BRASIL DISTRIBUTION, L.L.C.""";"""9018804,3"""
"""2003""";"""BUENA VISTA INTERNATIONAL, INC""";"""1236,05"""
"""2003""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""1122528,66"""
"""2003""";"""EUROCHANNEL""";"""125791,34"""
"""2003""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""1398873,46"""
"""2003""";"""IMAGEN SATELITAL S. A .""";"""4635,37"""
"""2003""";"""MTV NETWORKS LATIN AMERICA INC.""";"""382009,05"""
"""2003""";"""NHK GLOBAL MEDIA SERVICE""";"""10519,91"""
"""2003""";"""PLAYBOY TV LATIN AMERICA LLC""";"""220768,79"""
"""2003""";"""SOUND TRACK CHANNEL LLC""";"""27820,79"""
"""2003""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""1484405,89"""
"""2003""";"""TV5 MONDE""";"""7962,57"""
;;
"""Fonte: ANCINE (Superintendência de Fomento - SFO).""";;
"""2017: Sistema de Arrecadação de Benefícios Fiscais (SABF) em 16/04/2018.""";;
"""2016: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 19/04/2017.""";;
"""2015: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 06/05/2016.""";;
"""2002 a 2014: Sistema de Informações da ANCINE (SIA)/Sistema de Arrecadação em 28/09/2015.""";;
;;
"""Os valores disponíveis nesse arquivo são valores correntes do ano de referência.""";;
;;
"""Elaboração: Coordenação do Observatório do Cinema e do Audiovisual. Publicado em 04/06/2018.""";;
