Valores Captados por Projeto Incentivado - Em Reais (R$) - 2002 a Julho de 2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ano de Captação;Salic;Nome do Projeto;CNPJ do Proponente;Proponente;UF;Tipo ou segmento;Gênero;"Lei 8.313/91
(Lei Rouanet)";"Art. 1º 
Lei 8.685/93";"Art. 1º A
Lei 8.685/93";"Art. 3º 
Lei 8.685/93*";"Art. 3º A
Lei 8.685/93*";"Art. 39 
MP 2228-1/01*";Funcines;Total Captado no Ano
2002;12041;Histórias do Olhar Projeto de Distribuição;73.315.293/0001-70;ÍRIS CINEMATOGRÁFICA LTDA;RJ;Distribuição Cinematográfica;Ficção;0;11.000,00;0;0;0;0;0;11.000,00
2002;11840;Homem Pode Voar A Saga de Santos Dumont (O);31.399.272/0001-30;COMUNICAÇÃO ALTERNATIVA LTDA;RJ;Produção Cinematográfica;Documentário;0;214.000,00;0;0;0;0;0;214.000,00
2002;993602;Homem Que Copiava (O);94.625.829/0001-23;CASA DE CINEMA DE PORTO ALEGRE LTDA.;RS;Produção Cinematográfica;Ficção;0;61.000,00;0;0;0;0;0;61.000,00
2002;20002;Horizontes;00.613.962/0001-16;EMPRESA CINEMATOGRAFICA PAMPEANA EIRELI;RS;Videofonográfica;Documentário;0;120.000,00;0;0;0;0;0;120.000,00
2002;23849;Hotel Atlântico;61.374.229/0001-80;PLANIFILMES LTDA;SP;Produção Cinematográfica;Ficção;0;200.000,00;0;0;0;0;0;200.000,00
2002;973614;Ilha do Terrível Rapaterra ( A );44.154.342/0001-31;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;SP;Produção Cinematográfica;Ficção;0;597.962,00;0;0;0;0;0;597.962,00
2002;983515;INESPERADA VISITA DO IMPERADOR (A);01.537.065/0001-33;GILVAN BEZERRA DE BRITO - ME;DF;Produção Cinematográfica;Ficção;0;865.935,00;0;0;0;0;0;865.935,00
2002;382;Invasor;02.902.219/0001-01;DRAMA FILMES LTDA.;SP;Produção Cinematográfica;Ficção;0;50.000,00;0;0;0;0;0;50.000,00
2002;13668;Irma Vap - O Retorno (ex-O Mistério de Irma Vap);28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;Produção Cinematográfica;Ficção;450.000,00;0;0;0;0;0;0;450.000,00
2002;14523;Janela da Alma - Distribuição;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;Distribuição Cinematográfica; -;180.000,00;0;0;0;0;0;0;180.000,00
